,user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed,label
376,261.0,80515f53-d41c-4e14-b249-683adddc657c,36731596.0,5556.0,3500.0,0.6299,1353.0252,45.0,2148,286.0,6.3555555560000005,1804.0336,0
377,261.0,80515f53-d41c-4e14-b249-683adddc657c,36732336.0,6820.0,4764.0,0.6985,1653.3495,65.0,2367,187.0,2.876923077,1526.1687689999999,0
378,261.0,80515f53-d41c-4e14-b249-683adddc657c,36738049.0,5772.0,3716.0,0.6438,1257.9852,77.0,1954,207.0,2.688311688,980.2482077999999,0
301,259.0,50411a5f-5ea9-44da-8328-fd37e9019de7,36881268.0,3660.0,2550.0,0.6967,1672.7767,46.0,2401,185.0,4.02173913,2181.882652,0
381,261.0,858ff2d9-4b66-44ec-8b27-614bc832d176,36794105.0,12856.0,4346.0,0.3381,947.6943,64.0,2803,320.0,5.0,888.4634062999999,0
427,267.0,2cd2f888-7c4c-4012-8477-eb724cea0809,37265840.0,6352.0,4128.0,0.6499,1507.7679999999998,68.0,2320,300.0,4.4117647060000005,1330.383529,0
435,267.0,f5f71647-a1b0-46fb-a112-0ff452e5fc93,37329191.0,5032.0,2808.0,0.5579999999999999,956.97,49.0,1715,260.0,5.306122449,1171.8,0
266,250.0,ee44ab94-02eb-4911-b09d-e54ba737f8b0,36779901.0,3321.0,1656.0,0.4986,1746.5958,57.0,3503,171.0,3.0,1838.5218949999999,0
214,133.0,4bf13806-3d36-403d-be06-48373c6e0f0c,36638178.0,3718.0,2608.0,0.7015,1287.954,42.0,1836,217.0,5.166666667,1839.934286,0
230,250.0,405d0dc8-3494-4b2b-a840-e2720211084a,36721689.0,6852.0,5187.0,0.757,1748.67,37.0,2310,173.0,4.675675676,2835.6810809999997,0
495,379.0,3dec597a-cf2e-45dd-8a5e-49491763b801,41753022.0,9543.0,2179.0,0.2283,2254.6908,9.0,9876,58.0,6.444444444,15031.271999999999,0
229,250.0,3ea51445-accf-4442-bad1-617f81eae9e9,36682598.0,3774.0,2109.0,0.5588,982.3704,29.0,1758,138.0,4.75862069,2032.4904829999998,0
227,250.0,275b62cf-0d89-44d2-b479-12bcac4c8d09,36744461.0,3492.0,1827.0,0.5232,1851.0816,196.0,3538,150.0,0.765306122,566.6576327,0
503,380.0,58a16d39-ec77-45ab-9e25-d4c77da84193,42731505.0,2996.0,1549.0,0.517,1456.389,17.0,2817,85.0,5.0,5140.196471,0
220,133.0,a86020c1-5d8a-43ef-aa11-402a1998a73f,36615028.0,11130.0,3809.0,0.3422,1618.9482,34.0,4731,173.0,5.0882352939999995,2856.967412,0
217,133.0,5a7532ef-59e6-4290-b067-5f96e61b07f1,36608269.0,2838.0,1728.0,0.6089,1058.2682,61.0,1738,216.0,3.540983607,1040.919541,0
216,133.0,5a7532ef-59e6-4290-b067-5f96e61b07f1,36574299.0,2642.0,1532.0,0.5799,1008.4461,77.0,1739,166.0,2.155844156,785.8021557999999,0
345,261.0,411efe87-b340-42cf-812b-a489dd9f8b8f,36865435.0,6756.0,4700.0,0.6957,1488.7979999999998,43.0,2140,243.0,5.651162791,2077.392558,0
450,303.0,7e3a884b-f64f-43e4-ad2b-7c3390390841,37565653.0,4074.0,2409.0,0.5913,1144.1655,37.0,1935,178.0,4.8108108110000005,1855.403514,0
