user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed
1,499bbff4-37eb-4798-9eb9-bd94e59365bc,33647154,4856,3766,0.7755,1422.267,72,1834,150,2.083333333,1185.2225
1,4c4bc330-25de-4fe6-b366-26407fe880f7,34061284,4744,635,0.1339,246.1082,6,1838,19,3.166666667,2461.082
1,50258012-41f9-4eb1-88ef-144cea383b4a,36285643,4034,2874,0.7124,1217.4916,14,1709,153,10.92857143,5217.821143
1,51f224c5-1bc4-4d88-b77e-5130f6b224ec,36294939,6092,4982,0.8178,2083.7544,826,2548,260,0.314769976,151.3623051
1,52d20353-6b68-4f17-b224-5b0ce7ea1a9d,36523759,7648,4465,0.5838,1596.693,8,2735,126,15.75,11975.1975
1,54acc15a-57d6-4bb4-a1da-24c1850e8d93,32879690,3790,2700,0.7124,1745.38,57,2450,418,7.333333333,1837.242105
1,58a51d8c-2327-459a-93ff-4485012df76d,36325045,2022,912,0.451,612.909,4,1359,15,3.75,9193.635
1,5b4ef824-7661-4c0a-af5f-65c4f573990e,33647154,10942,7945,0.7261,5368.0573,37,7393,373,10.08108108,8704.957784
1,5c0c092c-4958-422b-8c12-cdd1a4e8bdfd,34059482,5554,265,0.0477,93.3966,6,1958,19,3.166666667,933.966
1,696db94b-33b8-4ab7-87a2-5459840c5531,33647154,5190,1210,0.2331,439.1604,5,1884,104,20.8,5269.9248
1,6de1b534-078d-4e31-9579-f21bbf42291a,34059482,4844,1240,0.256,484.608,7,1893,45,6.428571429,4153.782857
1,7502782c-0f97-4820-bc9e-98a64b67f179,32584454,8154,2160,0.2649,505.959,10,1910,198,19.8,3035.754
1,7538075d-1935-4d01-9845-7678ad459ccc,36254631,17670,16560,0.9372,1388.9304,27,1482,172,6.37037037,3086.512
1,7538075d-1935-4d01-9845-7678ad459ccc,36254631,17670,16560,0.9372,10491.0168,21,11194,172,8.19047619,29974.33371
